epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,11013.1,0.82242,0.58514,1.26066,0.92771,0.93855,0.95857,0.69864,1.04778,0.45044,1.39113,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,11200.5,0.81829,0.57692,1.25844,0.93702,0.92818,0.95725,0.70042,1.02206,0.43279,1.37585,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,11386.9,0.81226,0.57855,1.25896,0.91666,0.9377,0.95383,0.67329,1.10636,0.45677,1.43811,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,11574.1,0.80975,0.56769,1.24742,0.93384,0.92893,0.95923,0.70154,1.03384,0.44191,1.38586,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,11759.3,0.80992,0.5698,1.25,0.92436,0.93126,0.96026,0.72967,0.94454,0.4306,1.30402,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,11946.9,0.80528,0.55875,1.24605,0.93011,0.9309,0.95933,0.70139,1.02426,0.43211,1.38228,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,12133.5,0.79807,0.56925,1.24002,0.9372,0.93286,0.96454,0.70939,1.02688,0.42349,1.39054,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,12321.5,0.79357,0.54571,1.24085,0.92574,0.93931,0.96427,0.70884,1.05118,0.43178,1.38503,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,12510.5,0.80488,0.56633,1.24747,0.92632,0.93852,0.96368,0.72904,0.97271,0.42489,1.32377,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,12696.7,0.78864,0.54378,1.2355,0.92112,0.95081,0.96557,0.71759,0.99578,0.41745,1.35561,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,12881,0.78476,0.54657,1.23262,0.93147,0.93738,0.9643,0.71636,0.98439,0.42307,1.35084,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,13064.7,0.78806,0.54978,1.23551,0.93263,0.92946,0.96096,0.71165,0.99619,0.42876,1.35374,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,13250,0.79045,0.54874,1.239,0.93782,0.92391,0.95745,0.70189,1.01552,0.43317,1.36663,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,13434.4,0.78594,0.541,1.23456,0.92063,0.94389,0.96085,0.72424,0.95674,0.41736,1.31686,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,13620.2,0.78589,0.54009,1.23077,0.93726,0.92942,0.95871,0.6896,1.07712,0.43377,1.43187,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,13808.2,0.78234,0.54341,1.23102,0.92255,0.94065,0.96174,0.71501,1.00872,0.42528,1.35818,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,13995.7,0.77451,0.54515,1.22735,0.93124,0.93872,0.96007,0.71823,0.98469,0.42208,1.34376,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,14182.3,0.7658,0.52822,1.21311,0.92612,0.94363,0.96111,0.69632,1.07319,0.4354,1.42698,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,14369.7,0.7625,0.53685,1.21827,0.93369,0.93974,0.95997,0.68858,1.09119,0.43802,1.44179,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,14553.5,0.76221,0.52535,1.21512,0.92715,0.94858,0.96057,0.6743,1.13849,0.4464,1.50417,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,14737.4,0.76631,0.52677,1.21851,0.92723,0.9572,0.96278,0.70211,1.05661,0.41885,1.4198,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,14933.9,0.76284,0.53114,1.21526,0.92525,0.95024,0.96166,0.71579,1.0101,0.41286,1.37397,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,15124,0.7624,0.5218,1.22107,0.92963,0.94286,0.96252,0.71392,1.01384,0.41637,1.37385,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,15312.5,0.76509,0.52458,1.21417,0.94303,0.93643,0.9637,0.70796,1.04845,0.42303,1.41533,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,15502.3,0.76548,0.52124,1.21494,0.92748,0.95075,0.96449,0.72594,0.9772,0.40558,1.33759,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,15695.2,0.75603,0.51716,1.21212,0.93561,0.94121,0.9645,0.72194,0.99638,0.41846,1.36246,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,15883.7,0.75764,0.52146,1.21629,0.9199,0.95,0.96355,0.7106,1.04739,0.4302,1.40834,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,16070.4,0.75807,0.52376,1.20689,0.92757,0.95139,0.9661,0.72103,1.00615,0.4142,1.36901,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,16257.2,0.75638,0.51841,1.2107,0.92907,0.94166,0.96664,0.72417,0.98857,0.40898,1.35068,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,16443.3,0.75012,0.5195,1.20993,0.93029,0.93999,0.96497,0.7058,1.02778,0.42274,1.39943,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
