epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,10384,0.85741,0.59494,1.29786,0.88117,0.89178,0.9035,0.70797,0.84331,0.47088,1.37615,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,10573.2,0.8554,0.57856,1.29419,0.88171,0.88776,0.90735,0.71274,0.83312,0.4692,1.3597,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,10762.4,0.85799,0.59854,1.30564,0.88736,0.88647,0.90531,0.71335,0.85287,0.46455,1.38226,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,10951.6,0.85237,0.58179,1.29372,0.89757,0.88355,0.90666,0.71185,0.85723,0.47112,1.38442,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,11140.9,0.85871,0.58068,1.29788,0.87921,0.89624,0.90289,0.70998,0.85339,0.48095,1.38123,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,11330.1,0.85125,0.58967,1.2974,0.88662,0.88267,0.90383,0.71164,0.84902,0.48439,1.37903,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,11518.9,0.84726,0.56549,1.28787,0.88654,0.89301,0.90279,0.70818,0.8469,0.47099,1.3704,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,11708.5,0.8583,0.57072,1.30919,0.88289,0.88859,0.90472,0.71154,0.85316,0.47346,1.38687,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,11898.4,0.84588,0.57382,1.29042,0.883,0.89002,0.9039,0.71231,0.846,0.46753,1.37715,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,12089.3,0.83416,0.54559,1.28323,0.8875,0.89054,0.9048,0.71156,0.84893,0.45955,1.37778,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,12279.7,0.84933,0.56414,1.30393,0.8889,0.89138,0.90253,0.70823,0.84728,0.46505,1.37661,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,12468.7,0.84702,0.55932,1.29589,0.89443,0.89289,0.9087,0.71306,0.85048,0.4676,1.38031,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,12650.1,0.84265,0.56523,1.29336,0.89477,0.88229,0.90702,0.71283,0.85385,0.47295,1.38184,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,12830.3,0.83145,0.54649,1.27878,0.89041,0.894,0.90888,0.71542,0.84225,0.47151,1.37724,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,13011.1,0.83603,0.55863,1.28553,0.88951,0.89672,0.90972,0.71405,0.83772,0.4655,1.37818,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,13191.9,0.83354,0.55267,1.29303,0.90186,0.89239,0.90951,0.71672,0.84627,0.46556,1.38248,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,13372.9,0.83241,0.54009,1.2834,0.90297,0.89008,0.90763,0.71546,0.84589,0.47012,1.3821,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,13553.6,0.82338,0.5272,1.27316,0.888,0.89328,0.90543,0.71381,0.84247,0.46865,1.38501,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,13734.2,0.84148,0.54872,1.29286,0.89889,0.89034,0.90428,0.71467,0.83801,0.47435,1.3924,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,13914.4,0.8302,0.54207,1.28515,0.90197,0.88799,0.90282,0.71274,0.84524,0.47265,1.39505,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,14094.8,0.82535,0.53338,1.26794,0.8846,0.89319,0.90248,0.71263,0.84375,0.47021,1.38592,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,14275.2,0.82615,0.53406,1.2793,0.89555,0.88902,0.90329,0.71158,0.83937,0.46911,1.3802,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,14455.5,0.82976,0.53191,1.27832,0.89784,0.89168,0.90426,0.71479,0.83456,0.47108,1.3778,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,14636.1,0.82626,0.55016,1.27958,0.90087,0.8893,0.90597,0.7142,0.83162,0.46186,1.37439,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,14816.2,0.81503,0.52168,1.26463,0.89664,0.88806,0.90662,0.71461,0.8316,0.46248,1.3733,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,14996.2,0.82064,0.53358,1.27607,0.90111,0.88766,0.90517,0.71434,0.83221,0.46029,1.37207,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,15176.7,0.82169,0.5245,1.27637,0.9032,0.87914,0.90578,0.71564,0.83663,0.4631,1.37605,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,15357.2,0.81848,0.52738,1.27336,0.88493,0.89054,0.90487,0.71688,0.8356,0.46662,1.37385,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,15537.5,0.80717,0.52811,1.27046,0.88463,0.89664,0.9048,0.71569,0.8378,0.46626,1.37718,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,15718,0.80867,0.51929,1.26779,0.90615,0.87806,0.90295,0.71555,0.8359,0.46842,1.37747,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,15898.7,0.8078,0.50238,1.26229,0.89523,0.8908,0.90431,0.71821,0.83497,0.46663,1.37872,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,16079.2,0.81546,0.52626,1.2738,0.89424,0.89487,0.90279,0.7191,0.83319,0.46816,1.37793,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,16259.8,0.81284,0.51352,1.27465,0.89506,0.89378,0.90214,0.71809,0.83195,0.46894,1.37669,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,16439.8,0.80385,0.50622,1.2581,0.89124,0.89516,0.90302,0.71993,0.83475,0.47225,1.38021,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
