epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,8094.75,0.95321,1.38704,1.29148,0.87088,0.88194,0.89732,0.68465,0.91936,1.03746,1.3942,0.0241558,0.00805195,0.0241558,0.00805195,0.0241558,0.00805195,0.0241558,0.00805195
41,8296.23,0.94198,1.38065,1.29381,0.88334,0.87689,0.90527,0.69268,0.90442,1.0102,1.37295,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
42,8497.52,0.93858,1.35599,1.28473,0.88014,0.8751,0.90191,0.67632,0.94746,1.03823,1.38637,0.0238561,0.00795205,0.0238561,0.00795205,0.0238561,0.00795205,0.0238561,0.00795205
43,8698.01,0.92425,1.32085,1.27712,0.89557,0.87982,0.90442,0.68844,0.90831,1.00155,1.38223,0.0237063,0.0079021,0.0237063,0.0079021,0.0237063,0.0079021,0.0237063,0.0079021
44,8899.17,0.9441,1.36919,1.29349,0.90135,0.87862,0.9089,0.68533,0.91998,1.02668,1.38073,0.0235564,0.00785215,0.0235564,0.00785215,0.0235564,0.00785215,0.0235564,0.00785215
45,9100.12,0.93253,1.35217,1.28107,0.88987,0.87836,0.90208,0.68959,0.89753,1.02113,1.35811,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
46,9301.06,0.93958,1.3723,1.28656,0.89006,0.87788,0.90198,0.69603,0.88031,1.00645,1.35781,0.0232567,0.00775225,0.0232567,0.00775225,0.0232567,0.00775225,0.0232567,0.00775225
47,9502.72,0.93906,1.3595,1.29233,0.89442,0.87997,0.90332,0.69873,0.8831,0.97378,1.36414,0.0231069,0.0077023,0.0231069,0.0077023,0.0231069,0.0077023,0.0231069,0.0077023
48,9703.91,0.9279,1.34684,1.27481,0.89399,0.87602,0.89959,0.6963,0.88233,0.98756,1.36663,0.022957,0.00765235,0.022957,0.00765235,0.022957,0.00765235,0.022957,0.00765235
49,9904.92,0.93011,1.34705,1.28305,0.89134,0.87349,0.89891,0.69778,0.88273,1.00162,1.36072,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024,0.0228072,0.0076024
