epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,21741.6,0.87807,0.58448,0.01131,0.91795,0.92949,0.96045,0.78118,0.777,0.36977,0.01176,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,22225.7,0.89254,0.59154,0.01157,0.90878,0.89904,0.95448,0.77885,0.76467,0.412,0.01142,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,22710.2,0.89158,0.6034,0.01161,0.91591,0.9229,0.96106,0.7643,0.82768,0.3821,0.01253,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,23195.1,0.87874,0.60663,0.01141,0.91428,0.92326,0.96323,0.75996,0.82646,0.37715,0.01253,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,23679.7,0.86357,0.58647,0.01124,0.91136,0.92782,0.96243,0.77923,0.77716,0.36691,0.01173,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,24163.4,0.86702,0.57747,0.01122,0.92201,0.92179,0.96378,0.78439,0.76785,0.36599,0.01162,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,24656.2,0.85708,0.56675,0.01102,0.8946,0.92912,0.95955,0.79118,0.73172,0.37665,0.01106,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,25145.6,0.86754,0.58579,0.01131,0.91333,0.92071,0.95932,0.79039,0.737,0.3838,0.01104,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,25640.2,0.86004,0.58236,0.01108,0.92195,0.92547,0.96406,0.78464,0.76662,0.3608,0.01155,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,26127.6,0.86462,0.55246,0.01131,0.92911,0.92758,0.95958,0.78431,0.75977,0.35938,0.01142,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,26611.6,0.85098,0.57701,0.01113,0.91688,0.93392,0.96067,0.78256,0.75703,0.36117,0.01145,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,27094.8,0.84814,0.54911,0.01108,0.90304,0.94298,0.95891,0.79151,0.73766,0.35855,0.01112,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,27579.6,0.85609,0.55519,0.01113,0.92364,0.92182,0.96131,0.78554,0.76547,0.35592,0.01152,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,28066.2,0.84887,0.56722,0.01102,0.90335,0.94607,0.96437,0.78356,0.77673,0.35581,0.01161,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,28551,0.8441,0.55023,0.01097,0.90542,0.9423,0.96503,0.79165,0.75906,0.34167,0.01141,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,29036.2,0.84714,0.55576,0.01089,0.92158,0.92972,0.96404,0.78325,0.78468,0.35008,0.01181,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,29523,0.85092,0.54443,0.01099,0.93232,0.92028,0.96409,0.78048,0.78909,0.35018,0.01183,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,30013.1,0.83734,0.54935,0.01074,0.90756,0.93855,0.96085,0.79335,0.73656,0.35082,0.0111,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,30499.6,0.8465,0.53397,0.01106,0.93529,0.92475,0.96678,0.79735,0.75131,0.34299,0.01133,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,30985.2,0.83956,0.53212,0.01071,0.91067,0.94486,0.96675,0.78964,0.78411,0.35034,0.0118,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,31475.4,0.82824,0.54752,0.01073,0.93104,0.91523,0.96352,0.77565,0.80332,0.36171,0.01217,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,31965.6,0.83247,0.53483,0.01083,0.91061,0.94116,0.96635,0.79253,0.75752,0.35367,0.0114,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,32458.5,0.83438,0.53297,0.01088,0.92315,0.94275,0.96655,0.7894,0.768,0.34667,0.01158,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,32956.6,0.81645,0.52669,0.01056,0.9094,0.94887,0.96887,0.7833,0.79909,0.34856,0.0121,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,33449.9,0.82492,0.52693,0.01066,0.90504,0.95281,0.96756,0.80566,0.71287,0.33826,0.01072,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,33941.5,0.82533,0.53665,0.01058,0.91742,0.92427,0.96351,0.79346,0.72882,0.34298,0.01108,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,34438.4,0.82049,0.52182,0.01052,0.92081,0.93434,0.9656,0.78676,0.76668,0.34821,0.01164,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,34930.7,0.81797,0.51973,0.01061,0.92651,0.93513,0.96412,0.79002,0.76578,0.33911,0.01166,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,35428.3,0.81073,0.51056,0.0105,0.91922,0.93279,0.96097,0.80233,0.71317,0.34187,0.01076,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,35945.8,0.81554,0.52574,0.01044,0.91396,0.94161,0.9637,0.79974,0.74035,0.33801,0.01123,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,36458.9,0.81224,0.51544,0.01046,0.90991,0.93831,0.96041,0.79397,0.74366,0.35005,0.01123,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,487.581,0.80272,0.50694,0.01038,0.93089,0.92447,0.96065,0.7974,0.73786,0.34626,0.01119,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,955.466,0.81133,0.50867,0.01044,0.92669,0.92318,0.96106,0.79154,0.75626,0.34437,0.01142,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,1430.33,0.80731,0.50038,0.01038,0.93035,0.92211,0.95984,0.79388,0.74492,0.34019,0.01133,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,1901.32,0.80554,0.51712,0.0104,0.92472,0.94055,0.96175,0.80253,0.71838,0.33077,0.01084,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,2414.45,0.78939,0.50029,0.01025,0.9265,0.92886,0.96021,0.80037,0.73574,0.33797,0.01109,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,2920.79,0.78616,0.48778,0.01012,0.9186,0.94014,0.96029,0.79809,0.73896,0.34604,0.01114,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,3419.93,0.7868,0.49455,0.01011,0.927,0.92362,0.96262,0.80151,0.73977,0.34665,0.01111,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,3929.64,0.78909,0.49157,0.01016,0.92336,0.93663,0.96074,0.7956,0.75478,0.3505,0.0114,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,4392.14,0.79124,0.49106,0.01021,0.92787,0.9347,0.964,0.80061,0.74264,0.34014,0.01118,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,4854.02,0.78481,0.49277,0.01001,0.93611,0.92769,0.95997,0.79909,0.73634,0.3419,0.01109,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,5311.1,0.77889,0.49364,0.01008,0.93481,0.93651,0.96006,0.80565,0.71899,0.33979,0.01079,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,5770.57,0.78595,0.48194,0.01004,0.93677,0.93178,0.96296,0.81035,0.71004,0.33495,0.01064,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,6259.68,0.77592,0.47942,0.00995,0.94295,0.92907,0.96334,0.81601,0.68981,0.32703,0.01032,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,6751.39,0.76694,0.47313,0.00984,0.93214,0.92805,0.96359,0.81776,0.68814,0.33069,0.01034,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,7248.55,0.7711,0.46493,0.00988,0.92859,0.93363,0.96292,0.8122,0.70272,0.33092,0.0106,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,7741.89,0.76549,0.47038,0.00976,0.93715,0.92609,0.96087,0.80957,0.70002,0.33193,0.01056,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,8254.56,0.77666,0.4772,0.01003,0.93726,0.92934,0.96003,0.80636,0.7096,0.33529,0.01068,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,8755.94,0.76138,0.45894,0.00975,0.93886,0.92907,0.9593,0.80028,0.73163,0.33944,0.01103,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,9256.78,0.76295,0.45931,0.00971,0.93772,0.92994,0.96118,0.80125,0.73854,0.3429,0.01112,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,9732.52,0.76005,0.44694,0.00956,0.93266,0.93228,0.96081,0.80108,0.73263,0.34217,0.01105,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,10198.3,0.76344,0.4593,0.00975,0.9298,0.94372,0.96074,0.8034,0.72735,0.33398,0.01098,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,10660,0.75135,0.45364,0.00964,0.92532,0.93914,0.95738,0.80226,0.7173,0.33974,0.01078,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,11117.6,0.75267,0.45096,0.00964,0.94215,0.92604,0.95755,0.80077,0.72453,0.3384,0.0109,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,11573.2,0.74879,0.44827,0.00949,0.93257,0.93362,0.95749,0.80163,0.72093,0.34044,0.01084,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,12019.2,0.76081,0.4565,0.00969,0.93103,0.93575,0.95674,0.80243,0.71161,0.33858,0.01068,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,12483.1,0.75519,0.45198,0.00955,0.93868,0.92992,0.96064,0.80215,0.72513,0.33427,0.01087,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,12940.5,0.7464,0.43444,0.00954,0.92494,0.93937,0.95886,0.79913,0.73006,0.33496,0.01096,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,13383.6,0.7403,0.43524,0.00954,0.92061,0.9433,0.95812,0.79578,0.73398,0.336,0.01106,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,13827.7,0.74051,0.44298,0.00941,0.92507,0.94079,0.95999,0.79722,0.73842,0.337,0.0111,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,14270.1,0.73154,0.41643,0.0093,0.91844,0.94307,0.95961,0.79516,0.74166,0.33208,0.01115,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,14718.5,0.73266,0.42705,0.00929,0.91621,0.95138,0.95782,0.79742,0.73034,0.33358,0.01097,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,15163.5,0.73594,0.43418,0.00942,0.91863,0.94433,0.95817,0.79952,0.72917,0.33369,0.01095,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,15632.4,0.73229,0.42682,0.00935,0.93637,0.94038,0.96004,0.80267,0.72343,0.32794,0.01088,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,16084.8,0.736,0.42139,0.00931,0.93691,0.93989,0.96164,0.8062,0.71579,0.32419,0.01077,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,16532.3,0.73119,0.41589,0.00924,0.93889,0.9364,0.96094,0.80813,0.70646,0.32538,0.01064,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,17022.5,0.73194,0.41968,0.00925,0.93339,0.94245,0.96137,0.80819,0.70694,0.32717,0.01065,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,17534.3,0.71799,0.41624,0.00911,0.92882,0.94449,0.96127,0.80898,0.70848,0.3281,0.01067,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,18033.4,0.7242,0.4178,0.00915,0.93266,0.94105,0.96018,0.80769,0.7063,0.32856,0.01062,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,18483,0.71481,0.40611,0.009,0.93429,0.93932,0.96098,0.80735,0.70582,0.32737,0.01061,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
